Date, Open, High, Low, Close, Volume 
2007-12-28, 442.500000 , 452.500000 ,427.524994, 449.062012,2392080 
2008-01-02, 437.500000 , 439.837006 ,428.100006, 437.075012,3077528 
2008-03-17, 337.000000 , 338.575012 ,327.750000, 334.450012,2916040 
2008-03-26, 376.250000 , 379.462006 ,362.774994, 374.875000,5909592 
2008-04-25, 424.987000 , 428.899994 ,412.750000, 421.075012,7947992 
2008-05-12, 442.350006 , 449.750000 ,423.837006, 443.350006,8150920 
2008-05-20, 466.250000 , 478.250000 ,453.750000, 471.924988,6984640 
2008-05-27, 472.500000 , 474.750000 ,466.500000, 470.774994,5161780 
2008-06-11, 471.250000 , 476.000000 ,465.549988, 473.212006,4809864 
2008-07-29, 382.450012 , 386.475006 ,376.975006, 385.174988,4207060 
2008-08-05, 414.712006 , 423.888000 ,404.524994, 419.638000,7058120 
2008-08-06, 425.750000 , 431.250000 ,411.924988, 424.837006,13360164 
2008-09-09, 436.962006 , 439.500000 ,429.299988, 437.362000,4664908 
2008-09-18, 377.524994 , 390.000000 ,355.312012, 381.350006,13390096 
2008-10-10, 300.000000 , 320.000000 ,260.000000, 306.299988,18627852 
2008-10-14, 346.250000 , 352.875000 ,337.500000, 349.487000,7707268 
2008-10-27, 307.500000 , 322.500000 ,290.000000, 312.950012,10004556 
2008-11-17, 303.750000 , 311.000000 ,292.812012, 308.100006,9021528 
2008-11-19, 295.500000 , 300.000000 ,281.587006, 293.174988,11270532 
2008-11-26, 294.750000 , 298.750000 ,285.537994, 296.774994,7184720 
2008-12-02, 306.000000 , 306.000000 ,294.250000, 302.087006,6407164 
2008-12-19, 295.274994 , 300.000000 ,287.312012, 297.825012,6260368 
2008-12-29, 277.513000 , 279.899994 ,266.250000, 278.437988,7132344 
2008-12-30, 280.500000 , 283.462006 ,272.787994, 281.975006,4228752 
2009-01-06, 295.000000 , 297.500000 ,286.337006, 292.138000,5781932 
2009-01-15, 315.000000 , 315.975006 ,303.750000, 312.924988,12679588 
2009-01-19, 316.750000 , 318.187988 ,310.138000, 315.513000,4771844 
2009-01-22, 308.750000 , 309.750000 ,300.750000, 307.725006,4388040 
2009-01-30, 325.250000 , 328.500000 ,321.750000, 326.662994,5815836 
2009-02-18, 294.625000 , 297.000000 ,278.837006, 294.700012,5548328 
2009-02-27, 306.924988 , 309.462006 ,300.937988, 307.812012,6663388 
2009-03-02, 304.500000 , 306.950012 ,297.500000, 304.763000,5910296 
2009-04-08, 354.750000 , 358.662994 ,339.125000, 356.287994,9902888 
2009-04-09, 358.750000 , 359.225006 ,349.000000, 356.750000,7530844 
2009-04-24, 360.274994 , 364.500000 ,351.138000, 362.149994,5705644 
2009-06-02, 424.962006 , 427.000000 ,415.750000, 422.162994,5213080 
2009-07-02, 447.787994 , 451.000000 ,441.274994, 449.162994,4209520 
2009-08-28, 545.250000 , 549.750000 ,535.299988, 547.661987,3646344 
2009-09-03, 542.750000 , 551.000000 ,533.974976, 546.799988,6821864 
2009-09-07, 553.750000 , 557.500000 ,549.049988, 556.049988,4066700 
2009-10-01, 582.500000 , 587.500000 ,572.075012, 584.187988,7523256 
2009-10-30, 557.000000 , 562.250000 ,535.536987, 551.549988,7141364 
2009-11-05, 556.536987 , 560.562012 ,541.213013, 555.411987,4508200 
2009-11-09, 557.500000 , 560.000000 ,550.000000, 558.025024,2543356 
2009-12-02, 601.224976 , 602.000000 ,589.500000, 598.849976,3705012 
2009-12-24, 648.474976 , 650.000000 ,640.036987, 647.950012,2791572 
2010-01-14, 669.750000 , 675.724976 ,662.549988, 672.437988,4206952 
2010-01-29, 613.099976 , 625.000000 ,601.200012, 618.875000,7506140 
2010-03-05, 658.474976 , 660.000000 ,653.263000, 658.924988,2492404 
2010-04-05, 669.750000 , 672.500000 ,659.500000, 669.487000,3659308 
2010-04-12, 671.474976 , 674.500000 ,663.013000, 670.775024,4162824 
2010-05-11, 667.450012 , 668.625000 ,659.000000, 665.187988,2901412 
2010-05-17, 658.750000 , 662.013000 ,644.013000, 654.088013,4085412 
2010-05-27, 656.950012 , 666.000000 ,648.775024, 660.838013,5656348 
2010-05-28, 667.513000 , 671.099976 ,659.325012, 669.362000,3396996 
2010-06-17, 694.000000 , 695.950012 ,684.000000, 691.213013,2819620 
2010-06-24, 703.599976 , 708.424988 ,695.763000, 705.674988,6158052 
2010-06-30, 694.500000 , 702.161987 ,683.000000, 697.750000,4724988 
2010-07-22, 691.187988 , 691.187988 ,681.763000, 688.625000,4113476 
2010-07-28, 707.250000 , 709.625000 ,703.000000, 708.025024,1862584 
2010-10-12, 768.000000 , 771.237000 ,762.575012, 768.799988,2312812 
2010-12-13, 787.250000 , 789.099976 ,768.750000, 786.325012,3424540 
2010-12-14, 790.924988 , 793.500000 ,781.700012, 789.661987,1966792 
2010-12-31, 858.250000 , 862.750000 ,851.286987, 860.687988,2929864 
2011-01-06, 870.000000 , 873.250000 ,861.025024, 869.536987,2345920 
2011-02-25, 755.799988 , 760.661987 ,741.500000, 751.825012,5183360 
2011-03-10, 773.750000 , 775.000000 ,765.625000, 772.562012,1719100 
2011-04-05, 819.237000 , 823.250000 ,807.775024, 820.812012,2151268 
2011-05-09, 727.500000 , 729.250000 ,716.875000, 727.138000,2469100 
2011-06-28, 717.513000 , 719.213013 ,710.950012, 716.325012,2243396 
2011-07-05, 739.250000 , 742.474976 ,731.500000, 739.112000,3211864 
2011-08-03, 683.750000 , 684.924988 ,677.125000, 683.150024,2823044 
2011-08-30, 582.750000 , 590.000000 ,570.000000, 585.737000,6071460 
2011-09-26, 586.250000 , 591.250000 ,575.275024, 588.750000,3272144 
2011-10-19, 680.500000 , 683.750000 ,675.275024, 681.937988,5067660 
2011-11-24, 660.250000 , 671.000000 ,646.650024, 666.549988,6615888 
2011-12-15, 681.575012 , 683.588013 ,666.250000, 679.088013,5026584 
2012-01-10, 717.500000 , 718.849976 ,712.549988, 715.900024,5589588 
2012-02-01, 684.924988 , 687.000000 ,673.911987, 685.674988,3134668 
2012-02-10, 699.750000 , 700.500000 ,687.786987, 697.599976,2588808 
2012-02-21, 736.950012 , 739.974976 ,727.812012, 734.562012,3024612 
2012-03-01, 712.888000 , 718.750000 ,701.250000, 714.161987,4903316 
2012-04-17, 599.750000 , 599.750000 ,584.025024, 595.174988,11843544 
2012-04-24, 577.661987 , 591.200012 ,549.575012, 587.388000,26518956 
2012-04-25, 587.424988 , 591.250000 ,575.812012, 587.487000,12319252 
2012-05-08, 598.750000 , 601.937988 ,582.286987, 598.474976,5763320 
2012-05-17, 592.112000 , 594.362000 ,586.599976, 592.638000,2903708 
2012-05-23, 588.750000 , 591.200012 ,576.799988, 587.049988,2701016 
2012-05-28, 598.500000 , 599.500000 ,590.650024, 596.450012,2362892 
2012-06-04, 593.500000 , 599.088013 ,586.250000, 596.400024,2406044 
2012-07-12, 562.500000 , 570.000000 ,554.750000, 566.099976,27135932 
2012-07-25, 543.500000 , 545.000000 ,537.500000, 542.138000,3518272 
2012-07-27, 540.500000 , 541.000000 ,527.325012, 537.161987,4931244 
2012-07-31, 553.750000 , 559.000000 ,546.250000, 556.737000,3457220 
2012-09-24, 650.000000 , 652.474976 ,643.786987, 650.036987,4427016 
2012-10-05, 646.250000 , 646.250000 ,515.138000, 631.713013,5816000 
2012-10-17, 594.013000 , 594.750000 ,589.312012, 592.536987,2853660 
2012-10-29, 583.674988 , 586.200012 ,576.825012, 583.875000,4078476 
